Year,Arca noae,Bivalvia,Callista chione,Cardiidae,Cerastoderma edule,Donax spp,Mya arenaria,Ruditapes decussatus,Solenidae,Tellina spp,Veneridae,Venerupis pullastra,Venus verrucosa,Total
2004,0.001,1358,0.001,0.001,0.001,228,0.001,531,5,0.001,12,0.001,0.001,2134.008
2005,0.001,1691,2956,166,0.001,568,0.001,622,471,0.001,0.001,0.001,0.001,6474.007
2006,0.001,1414,2190,72,0.001,655,0.001,487,304,0.001,1266,0.001,0.001,6388.006
2007,0.001,1465,1853,28,0.001,391,0.001,616,182,0.001,1334,0.001,0.001,5869.006
2008,0.001,1343,1669,48,0.001,347,0.001,538,210,0.001,1255,0.001,0.001,5410.006
2009,0.001,867,1955,31,0.001,359,0.001,508,364,31,70,0.001,0.001,4185.005
2010,0.001,1278,1679,32,0.001,212,0.001,447,358,30,58,0.001,0.001,4094.005
2011,13,465,1705,23,0.001,195,0.001,774,402,44,29,1,27,3678.002
2012,13,383,1430,14,0.001,283,1,763,502,40,16,0.001,31,3476.002
2013,20,559,1645,8,0.001,534,11,1091,282,51,84,0.001,71,4356.002
2014,17,869,1289,6,0.001,483,62,1677,306,34,10,0.001,112,4865.002
2015,22,896,1348,86,0.001,392,125,1396,215,21,6,2,123,4632.001
2016,29,1384,1419,62,2,624,584,1554,273,6,7,0.001,128,6072.001
2017,30,708,1177,4,5,723,819,743,77,5,2,0.001,107,4400.001
2018,24,685,1631,19,0.001,562,601,288,16,5,4,0.001,120,3955.002
